,station_id,station_lat,station_lon,station_region,early_late,early_days,late_days,both_days
100,USW00026415,63.9944,-145.7214,1.0,1.0,10958.0,,
101,USW00026425,62.1592,-145.4589,1.0,3.0,10593.0,10958.0,21551.0
102,USW00026435,64.55,-149.0717,1.0,2.0,,10228.0,
103,USW00026438,60.1283,-149.4167,1.0,3.0,10958.0,10593.0,21551.0
104,USW00026442,61.1303,-146.3517,1.0,,,,
105,USW00026451,61.1689,-150.0278,1.0,3.0,10227.0,10958.0,21185.0
106,USW00026508,69.3694,-152.14,1.0,,,,
107,USW00026510,62.9575,-155.6103,1.0,1.0,10958.0,,
108,USW00026514,61.9772,-151.2169,1.0,,,,
109,USW00026516,61.5833,-159.5333,1.0,,,,
110,USW00026523,60.5797,-151.2392,1.0,3.0,10958.0,10958.0,21916.0
111,USW00026528,62.32,-150.095,1.0,3.0,10958.0,10958.0,21916.0
112,USW00026529,65.1744,-152.1069,1.0,,,,
113,USW00026533,66.9161,-151.5089,1.0,3.0,10593.0,10958.0,21551.0
114,USW00026615,60.785,-161.8292,1.0,3.0,10958.0,10958.0,21916.0
115,USW00026617,64.5111,-165.44,1.0,3.0,10958.0,10958.0,21916.0
116,USW00026618,65.6239,-168.0992,1.0,,,,
117,USW00026627,63.8833,-160.8,1.0,1.0,9862.0,,
118,USW00027401,70.1333,-143.6333,1.0,1.0,10958.0,,
119,USW00027502,71.2833,-156.7814,1.0,3.0,10958.0,10958.0,21916.0
120,USW00027503,70.6392,-159.995,1.0,,,,
121,USW00045715,52.7167,174.1,1.0,,,,
122,USC00510115,21.3833,-157.9333,3.0,,,,
123,USC00510123,21.3947,-157.91,3.0,,,,
124,USC00510211,21.3061,-157.8531,3.0,,,,
125,USC00510232,21.2667,-157.8,3.0,,,,
126,USC00510248,21.3131,-158.1142,3.0,,,,
127,USC00510456,21.9011,-159.4969,3.0,,,,
128,USC00510507,21.3747,-157.9917,3.0,,,,
129,USC00510766,21.9667,-159.3833,3.0,,,,
130,USC00510832,20.9167,-156.3167,3.0,,,,
131,USC00510840,20.1,-155.4667,3.0,,,,
132,USC00510905,19.9,-155.1333,3.0,,,,
133,USC00510935,22.1164,-159.3169,3.0,,,,
134,USC00510995,20.85,-156.3,3.0,1.0,9862.0,,
135,USC00510999,20.8333,-156.3167,3.0,,,,
136,USC00511004,20.7603,-156.2469,3.0,1.0,10958.0,,
137,USC00511065,19.7614,-155.4561,3.0,,,,
138,USC00511086,20.9233,-156.3403,3.0,1.0,10958.0,,
139,USC00511122,20.75,-155.9833,3.0,,,,
140,USC00511125,20.7947,-156.0153,3.0,1.0,9862.0,,
141,USC00511303,19.4297,-155.2561,3.0,1.0,10228.0,,
142,USC00511339,20.2403,-155.8389,3.0,,,,
143,USC00511527,21.45,-158.05,3.0,,,,
144,USC00511562,19.6167,-155.9833,3.0,,,,
145,USC00511665,19.4175,-155.8806,3.0,,,,
146,USC00511856,20.085,-155.4825,3.0,,,,
147,USC00511864,20.15,-155.7333,3.0,,,,
148,USC00511918,21.315,-157.9992,3.0,,,,
149,USC00511930,20.85,-156.1833,3.0,,,,
150,USC00511960,19.85,-155.15,3.0,,,,
151,USC00512146,21.3,-157.8333,3.0,,,,
152,USC00512156,19.7533,-155.9714,3.0,,,,
153,USC00512161,21.9828,-159.6831,3.0,1.0,10593.0,,
154,USC00512552,20.9047,-156.6258,3.0,,,,
155,USC00512570,21.695,-157.9811,3.0,,,,
156,USC00512630,20.8461,-156.2739,3.0,,,,
157,USC00512679,20.8906,-156.2128,3.0,,,,
158,USC00512725,21.2833,-157.8,3.0,,,,
159,USC00512751,19.5336,-155.9258,3.0,,,,
160,USC00512896,21.19,-156.9828,3.0,,,,
161,USC00512960,21.3753,-157.8222,3.0,2.0,,10592.0,
162,USC00513054,19.0106,-155.6592,3.0,,,,
163,USC00513099,22.1297,-159.6586,3.0,,,,
164,USC00513113,21.4167,-157.8167,3.0,1.0,10958.0,,
165,USC00513117,21.4233,-157.8014,3.0,,,,
166,USC00513268,21.3389,-157.8581,3.0,,,,
167,USC00513300,19.2753,-155.4514,3.0,,,,
168,USC00513317,20.9625,-156.6753,3.0,2.0,,10227.0,
169,USC00513367,19.5167,-154.85,3.0,,,,
170,USC00513368,19.5014,-154.8222,3.0,,,,
171,USC00513510,19.68,-155.1433,3.0,,,,
172,USC00513541,21.0867,-157.0225,3.0,,,,
173,USC00513739,21.5667,-158.0,3.0,,,,
174,USC00513910,20.8611,-156.3828,3.0,1.0,10958.0,,
175,USC00513982,22.1,-159.3167,3.0,,,,
176,USC00514091,20.8294,-156.1681,3.0,,,,
177,USC00514272,22.0025,-159.7547,3.0,1.0,10958.0,,
178,USC00514489,20.7911,-156.4422,3.0,1.0,10958.0,,
179,USC00514500,21.6792,-157.9453,3.0,,,,
180,USC00514561,22.2139,-159.4044,3.0,,,,
181,USC00514620,19.0667,-155.6167,3.0,,,,
182,USC00514634,20.65,-156.0667,3.0,1.0,9862.0,,
183,USC00514660,20.8333,-156.9167,3.0,,,,
184,USC00514670,20.2333,-155.7833,3.0,,,,
185,USC00514680,20.225,-155.7933,3.0,1.0,10958.0,,
186,USC00514735,22.0758,-159.7589,3.0,1.0,10958.0,,
187,USC00514742,21.9086,-159.4614,3.0,,,,
188,USC00514758,22.1903,-159.3847,3.0,,,,
189,USC00514765,19.8186,-155.9892,3.0,,,,
190,USC00514766,21.4981,-157.9697,3.0,,,,
191,USC00514771,20.8,-156.15,3.0,,,,
192,USC00514778,21.1539,-157.0361,3.0,,,,
193,USC00514815,20.0333,-155.35,3.0,1.0,10228.0,,
194,USC00514928,20.1167,-155.5833,3.0,1.0,10958.0,,
195,USC00514950,21.8911,-159.495,3.0,,,,
196,USC00515000,20.7583,-156.3211,3.0,2.0,,10958.0,
197,USC00515004,20.7008,-156.3561,3.0,2.0,,9861.0,
198,USC00515006,20.7,-156.3667,3.0,1.0,9863.0,,
199,USC00515011,19.5494,-155.3011,3.0,1.0,10958.0,,
200,USC00515032,21.9833,-159.4667,3.0,,,,
201,USC00515177,20.8789,-156.6742,3.0,1.0,10593.0,,
202,USC00515286,20.8292,-156.9203,3.0,,,,
203,USC00515330,19.6633,-155.9603,3.0,1.0,10592.0,,
204,USC00515408,20.8511,-156.6464,3.0,,,,
205,USC00515575,21.9742,-159.3683,3.0,,,,
206,USC00515637,21.35,-157.8167,3.0,,,,
207,USC00515715,20.9594,-156.6505,3.0,,,,
208,USC00515721,20.1833,-155.9,3.0,,,,
209,USC00515761,19.9742,-155.5481,3.0,,,,
210,USC00515766,21.4667,-158.2167,3.0,,,,
211,USC00515842,20.6419,-156.44,3.0,,,,
212,USC00515864,21.9189,-159.6278,3.0,,,,
213,USC00516082,22.03,-159.7628,3.0,1.0,10958.0,,
214,USC00516122,21.3114,-157.8158,3.0,3.0,10228.0,10592.0,20820.0
215,USC00516128,21.3331,-157.8025,3.0,,,,
216,USC00516130,21.3283,-157.7914,3.0,,,,
217,USC00516228,21.3667,-157.7667,3.0,,,,
218,USC00516304,19.2069,-155.8817,3.0,,,,
219,USC00516395,21.3478,-157.8911,3.0,2.0,,10958.0,
220,USC00516552,19.5486,-155.11,3.0,1.0,9862.0,,
221,USC00516588,19.0614,-155.5842,3.0,,,,
222,USC00516697,19.4689,-155.9094,3.0,,,,
223,USC00516850,22.0331,-159.7406,3.0,1.0,10593.0,,
224,USC00516928,21.3528,-157.8078,3.0,2.0,,9862.0,
225,USC00517000,20.6617,-156.0442,3.0,,,,
226,USC00517023,19.6333,-155.0333,3.0,,,,
227,USC00517059,20.8164,-156.6192,3.0,1.0,10592.0,,
228,USC00517131,20.0167,-155.2833,3.0,1.0,10593.0,,
229,USC00517166,19.2706,-155.8747,3.0,2.0,,10227.0,
230,USC00517194,20.8136,-156.1186,3.0,,,,
231,USC00517204,20.0833,-155.4333,3.0,1.0,9863.0,,
232,USC00517312,20.04,-155.3725,3.0,3.0,10958.0,10958.0,21916.0
233,USC00517421,19.1986,-155.4778,3.0,,,,
234,USC00517457,19.515,-154.9644,3.0,1.0,9862.0,,
235,USC00517566,20.8964,-156.3792,3.0,1.0,10227.0,,
236,USC00517656,21.3733,-157.7853,3.0,,,,
237,USC00517664,21.3228,-157.7719,3.0,,,,
238,USC00517711,19.7842,-155.0936,3.0,,,,
239,USC00517810,21.3447,-157.8058,3.0,3.0,10227.0,9860.0,20087.0
240,USC00518060,20.8156,-156.5072,3.0,,,,
241,USC00518165,22.2181,-159.4828,3.0,2.0,,9862.0,
242,USC00518181,20.2333,-155.8667,3.0,,,,
243,USC00518205,22.0322,-159.6928,3.0,1.0,10958.0,,
244,USC00518310,21.5833,-157.9,3.0,,,,
245,USC00518316,21.3103,-157.8458,3.0,2.0,,10227.0,
246,USC00518422,20.0256,-155.8219,3.0,,,,
247,USC00518543,20.8572,-156.4314,3.0,1.0,10592.0,,
248,USC00518652,19.0825,-155.7533,3.0,2.0,,10593.0,
249,USC00518688,20.8939,-156.4103,3.0,1.0,10593.0,,
250,USC00518750,20.8058,-156.5853,3.0,1.0,10593.0,,
251,USC00518815,21.2981,-157.8164,3.0,,,,
252,USC00518830,20.25,-155.8833,3.0,,,,
253,USC00518955,20.9,-156.6655,3.0,1.0,10227.0,,
254,USC00518958,22.0167,-159.45,3.0,1.0,10593.0,,
255,USC00518966,22.0219,-159.4644,3.0,1.0,10958.0,,
256,USC00519025,19.6581,-155.1325,3.0,1.0,10227.0,,
257,USC00519144,19.9094,-155.8753,3.0,2.0,,10227.0,
258,USC00519185,21.2733,-157.7803,3.0,2.0,,10592.0,
259,USC00519195,21.575,-158.1203,3.0,1.0,10958.0,,
260,USC00519231,21.4331,-158.1828,3.0,1.0,9863.0,,
261,USC00519253,21.9944,-159.7314,3.0,1.0,10958.0,,
262,USC00519275,20.9158,-156.5094,3.0,,,,
263,USC00519281,21.4508,-157.85,3.0,2.0,,10958.0,
264,USC00519315,20.9414,-156.5247,3.0,,,,
265,USC00519376,20.8536,-156.5089,3.0,,,,
266,USC00519397,21.2717,-157.8167,3.0,,,,
267,USC00519521,21.35,-157.7333,3.0,,,,
268,USC00519523,21.3356,-157.7114,3.0,,,,
269,USC00519603,21.6369,-158.0536,3.0,,,,
270,USC00519629,21.9592,-159.6758,3.0,1.0,10958.0,,
271,USC00519765,20.6306,-156.2042,3.0,,,,
272,USC00519980,21.2983,-157.7853,3.0,3.0,10228.0,10227.0,20455.0
273,USW00021504,19.7192,-155.0531,3.0,3.0,10958.0,10958.0,21916.0
274,USW00022501,22.0333,-159.7833,3.0,,,,
275,USW00022514,21.3167,-158.0667,3.0,1.0,10958.0,,
276,USW00022516,20.8997,-156.4286,3.0,2.0,,10958.0,
277,USW00022521,21.3239,-157.9294,3.0,3.0,10958.0,10958.0,21916.0
278,USW00022534,21.1544,-157.0961,3.0,2.0,,10958.0,
279,USW00022536,21.9839,-159.3405,3.0,3.0,10958.0,10958.0,21916.0
280,USC00110055,38.3778,-88.0569,4.0,1.0,10228.0,,
281,USC00110072,41.1978,-90.7447,4.0,3.0,10958.0,10593.0,21551.0
282,USC00110137,38.8669,-90.1489,4.0,1.0,10958.0,,
283,USC00110187,37.4814,-89.2344,4.0,1.0,10958.0,,
284,USC00110203,42.4811,-88.0994,4.0,1.0,10958.0,,
285,USC00110338,41.7803,-88.3092,4.0,3.0,10592.0,10958.0,21550.0
286,USC00110356,40.6633,-90.4447,4.0,1.0,9862.0,,
287,USC00110442,42.1153,-88.1639,4.0,,,,
288,USC00110445,39.6833,-91.05,4.0,,,,
289,USC00110492,40.0164,-90.4278,4.0,1.0,10593.0,,
290,USC00110500,39.1811,-88.7828,4.0,2.0,,10958.0,
291,USC00110583,42.255,-88.8639,4.0,,,,
292,USC00110598,40.3444,-91.1125,4.0,3.0,10592.0,10958.0,21550.0
293,USC00110608,38.0336,-88.9203,4.0,1.0,9863.0,,
294,USC00110761,40.4961,-88.9994,4.0,1.0,10227.0,,
295,USC00110766,40.5167,-89.0,4.0,,,,
296,USC00110781,39.75,-90.5333,4.0,1.0,9862.0,,
297,USC00110803,41.1758,-87.9353,4.0,2.0,,10593.0,
298,USC00110868,41.1461,-89.6289,4.0,,,,
299,USC00110993,37.1275,-88.6531,4.0,1.0,10958.0,,
300,USC00111160,38.5669,-90.1942,4.0,,,,
301,USC00111169,37.0044,-89.1786,4.0,,,,
302,USC00111250,40.5378,-90.0422,4.0,1.0,10593.0,,
303,USC00111265,37.7308,-89.1658,4.0,3.0,10958.0,10958.0,21916.0
304,USC00111280,39.2883,-89.8703,4.0,1.0,10593.0,,
305,USC00111288,38.6,-89.3667,4.0,,,,
306,USC00111290,38.625,-89.3631,4.0,2.0,,9862.0,
307,USC00111296,38.1497,-88.2244,4.0,1.0,10958.0,,
308,USC00111302,38.0733,-88.1805,4.0,2.0,,10227.0,
309,USC00111329,39.2975,-87.9747,4.0,,,,
310,USC00111386,38.5556,-89.1297,4.0,2.0,,10958.0,
311,USC00111420,41.3978,-88.2819,4.0,1.0,10958.0,,
312,USC00111436,39.4761,-88.1653,4.0,3.0,9861.0,9862.0,19723.0
313,USC00111475,40.7408,-88.7181,4.0,1.0,10593.0,,
314,USC00111491,37.9019,-89.8308,4.0,3.0,10958.0,10958.0,21916.0
315,USC00111497,42.14,-87.7853,4.0,2.0,,10227.0,
316,USC00111577,41.7372,-87.7775,4.0,3.0,10592.0,10958.0,21550.0
317,USC00111627,40.9153,-89.5031,4.0,1.0,10592.0,,
318,USC00111700,38.6058,-88.3117,4.0,2.0,,10958.0,
319,USC00111743,40.1375,-88.9675,4.0,3.0,10228.0,10228.0,20456.0
320,USC00111836,40.6211,-89.2414,4.0,2.0,,10958.0,
321,USC00112140,40.1392,-87.6478,4.0,3.0,10958.0,10593.0,21551.0
322,USC00112145,40.1019,-87.5961,4.0,3.0,10958.0,10228.0,21186.0
323,USC00112193,39.8289,-88.9506,4.0,3.0,10958.0,10228.0,21186.0
324,USC00112223,41.9342,-88.7756,4.0,2.0,,10958.0,
325,USC00112344,38.4628,-88.9433,4.0,,,,
326,USC00112348,41.835,-89.5136,4.0,1.0,10958.0,,
327,USC00112353,37.4389,-88.6678,4.0,,,,
328,USC00112483,37.9878,-89.1931,4.0,3.0,10228.0,10593.0,20821.0
329,USC00112497,41.1,-88.4167,4.0,,,,
330,USC00112500,41.1072,-88.4111,4.0,2.0,,10593.0,
331,USC00112679,38.8094,-90.0033,4.0,1.0,10958.0,,
332,USC00112687,39.1181,-88.6244,4.0,1.0,10593.0,,
333,USC00112736,42.0628,-88.2861,4.0,3.0,10958.0,10958.0,21916.0
334,USC00112745,42.3161,-90.2269,4.0,,,,
335,USC00112923,40.7511,-88.4983,4.0,2.0,,10592.0,
336,USC00112931,38.3806,-88.3264,4.0,3.0,10958.0,10958.0,21916.0
337,USC00112958,40.6333,-90.1667,4.0,,,,
338,USC00112993,40.2539,-88.7075,4.0,,,,
339,USC00113109,38.7103,-88.5758,4.0,1.0,9863.0,,
340,USC00113257,42.3,-89.6167,4.0,,,,
341,USC00113262,42.2972,-89.6039,4.0,3.0,10958.0,10958.0,21916.0
