available_files,metadata_stations,missing_from_available
CA002203920,CA002203920,
CA002203922,CA002203922,
CA002203925,CA002203925,
CA002203933,CA002203933,
CA002203943,CA002203943,
CA002204000,CA002204000,
CA002204100,CA002204100,
CA002204101,CA002204101,
CA002204110,CA002204110,
CA002204155,CA002204155,
CA002204200,CA002204200,
CA002204300,CA002204300,
CA00220B68C,CA00220B68C,
CA00220B6Q3,CA00220B6Q3,
CA00220BFH3,CA00220BFH3,
CA00220CQHR,CA00220CQHR,
CA00220K68F,CA00220K68F,
CA00220KLML,CA00220KLML,
CA00220L001,CA00220L001,
CA00220L002,CA00220L002,
CA00220LBQK,CA00220LBQK,
CA00220LQJJ,CA00220LQJJ,
CA00220N001,CA00220N001,
CA00220N003,CA00220N003,
CA00220N004,CA00220N004,
CA00220N005,CA00220N005,
CA002300426,CA002300426,
CA002300427,CA002300427,
CA002300500,CA002300500,
CA002300501,CA002300501,
CA002300550,CA002300550,
CA002300551,CA002300551,
CA002300555,CA002300555,
CA002300680,CA002300680,
CA002300700,CA002300700,
CA002300705,CA002300705,
CA002300707,CA002300707,
CA002300750,CA002300750,
CA002300850,CA002300850,
CA002300900,CA002300900,
CA002300902,CA002300902,
CA002300904,CA002300904,
CA002300MKF,CA002300MKF,
CA002300MQM,CA002300MQM,
CA002301000,CA002301000,
CA002301094,CA002301094,
CA002301100,CA002301100,
CA002301102,CA002301102,
CA002301153,CA002301153,
CA002301331,CA002301331,
CA002302335,CA002302335,
CA002302337,CA002302337,
CA002302340,CA002302340,
CA002302370,CA002302370,
CA002302650,CA002302650,
CA002302680,CA002302680,
CA0023026HN,CA0023026HN,
CA002303090,CA002303090,
CA002303092,CA002303092,
CA002303093,CA002303093,
CA002303094,CA002303094,
CA002303400,CA002303400,
CA002303401,CA002303401,
CA002303403,CA002303403,
CA002303610,CA002303610,
CA002303616,CA002303616,
CA002303685,CA002303685,
CA002303694,CA002303694,
CA002303830,CA002303830,
CA002303985,CA002303985,
CA002303986,CA002303986,
CA002304058,CA002304058,
CA00230J01Q,CA00230J01Q,
CA00230J048,CA00230J048,
CA00230N002,CA00230N002,
CA002400300,CA002400300,
CA002400305,CA002400305,
CA002400306,CA002400306,
CA002400400,CA002400400,
CA002400404,CA002400404,
CA002400552,CA002400552,
CA002400560,CA002400560,
CA002400565,CA002400565,
CA002400570,CA002400570,
CA002400571,CA002400571,
CA002400572,CA002400572,
CA002400573,CA002400573,
CA002400574,CA002400574,
CA002400577,CA002400577,
CA002400595,CA002400595,
CA002400600,CA002400600,
CA002400602,CA002400602,
CA002400634,CA002400634,
CA002400635,CA002400635,
CA002400636,CA002400636,
CA002400637,CA002400637,
CA002400650,CA002400650,
CA002400654,CA002400654,
CA002400658,CA002400658,
CA002400660,CA002400660,
CA002400697,CA002400697,
CA002400800,CA002400800,
CA002400801,CA002400801,
CA002400802,CA002400802,
CA002400804,CA002400804,
CA002400815,CA002400815,
CA002400F63,CA002400F63,
CA002401025,CA002401025,
CA002401030,CA002401030,
CA002401050,CA002401050,
CA002401060,CA002401060,
CA002401090,CA002401090,
CA002401200,CA002401200,
CA002402050,CA002402050,
CA002402051,CA002402051,
CA002402332,CA002402332,
CA002402340,CA002402340,
CA002402345,CA002402345,
CA002402346,CA002402346,
CA002402350,CA002402350,
CA002402351,CA002402351,
CA002402352,CA002402352,
CA002402353,CA002402353,
CA002402354,CA002402354,
CA002402540,CA002402540,
CA002402543,CA002402543,
CA002402590,CA002402590,
CA002402591,CA002402591,
CA002402592,CA002402592,
CA002402594,CA002402594,
CA002402600,CA002402600,
CA002402604,CA002402604,
CA002402665,CA002402665,
CA002402667,CA002402667,
CA002402675,CA002402675,
CA002402681,CA002402681,
CA002402682,CA002402682,
CA002402684,CA002402684,
CA002402686,CA002402686,
CA002402687,CA002402687,
CA002402688,CA002402688,
CA002402689,CA002402689,
CA002402730,CA002402730,
CA002402900,CA002402900,
CA002403000,CA002403000,
CA002403049,CA002403049,
CA002403050,CA002403050,
CA002403053,CA002403053,
CA002403160,CA002403160,
CA002403200,CA002403200,
CA002403201,CA002403201,
CA002403202,CA002403202,
CA002403204,CA002403204,
CA002403206,CA002403206,
CA002403450,CA002403450,
CA002403490,CA002403490,
CA002403500,CA002403500,
CA002403505,CA002403505,
CA002403600,CA002403600,
CA002403602,CA002403602,
CA002403625,CA002403625,
CA002403680,CA002403680,
CA002403756,CA002403756,
CA002403800,CA002403800,
CA002403820,CA002403820,
CA002403833,CA002403833,
CA002403854,CA002403854,
CA002403945,CA002403945,
CA002403948,CA002403948,
CA00240BFH9,CA00240BFH9,
CA00240KFQJ,CA00240KFQJ,
CA002500440,CA002500440,
CA002500667,CA002500667,
CA002502500,CA002502500,
CA002502501,CA002502501,
CA002502505,CA002502505,
CA002502657,CA002502657,
CA002502700,CA002502700,
CA002502G00,CA002502G00,
CA002503648,CA002503648,
CA002503650,CA002503650,
CA002503886,CA002503886,
CA00250M001,CA00250M001,
CA003010010,CA003010010,
CA003010060,CA003010060,
CA003010080,CA003010080,
CA003010160,CA003010160,
CA003010162,CA003010162,
CA003010164,CA003010164,
CA003010175,CA003010175,
CA003010232,CA003010232,
CA003010234,CA003010234,
CA003010237,CA003010237,
CA003010301,CA003010301,
CA003010410,CA003010410,
CA003010534,CA003010534,
CA003010535,CA003010535,
CA003010540,CA003010540,
CA003010558,CA003010558,
CA003010615,CA003010615,
CA003010616,CA003010616,
CA003010650,CA003010650,
CA003010698,CA003010698,
CA003010704,CA003010704,
CA003010712,CA003010712,
CA003010730,CA003010730,
CA003010800,CA003010800,
CA003010810,CA003010810,
CA003010815,CA003010815,
CA003010816,CA003010816,
CA003010817,CA003010817,
CA003010827,CA003010827,
CA003010830,CA003010830,
CA003010890,CA003010890,
CA003010900,CA003010900,
CA003010920,CA003010920,
CA003010978,CA003010978,
CA003010979,CA003010979,
CA003010991,CA003010991,
CA003010992,CA003010992,
CA003010RK0,CA003010RK0,
CA003011120,CA003011120,
CA003011136,CA003011136,
CA003011138,CA003011138,
CA003011239,CA003011239,
CA003011240,CA003011240,
CA003011241,CA003011241,
CA003011350,CA003011350,
CA003011440,CA003011440,
CA003011441,CA003011441,
CA003011474,CA003011474,
CA003011479,CA003011479,
CA003011480,CA003011480,
CA003011520,CA003011520,
CA003011560,CA003011560,
CA003011663,CA003011663,
CA003011760,CA003011760,
CA003011815,CA003011815,
CA003011820,CA003011820,
CA003011840,CA003011840,
CA003011848,CA003011848,
CA003011854,CA003011854,
CA003011880,CA003011880,
CA003011885,CA003011885,
CA003011887,CA003011887,
CA003011890,CA003011890,
CA003011892,CA003011892,
CA003011952,CA003011952,
CA003011953,CA003011953,
CA003011RED,CA003011RED,
CA003012050,CA003012050,
CA003012072,CA003012072,
CA003012073,CA003012073,
CA003012091,CA003012091,
CA003012095,CA003012095,
CA003012115,CA003012115,
CA003012116,CA003012116,
CA003012190,CA003012190,
CA003012192,CA003012192,
CA003012195,CA003012195,
CA003012202,CA003012202,
CA003012203,CA003012203,
CA003012205,CA003012205,
CA003012206,CA003012206,
CA003012207,CA003012207,
CA003012208,CA003012208,
CA003012209,CA003012209,
CA003012210,CA003012210,
CA003012212,CA003012212,
CA003012215,CA003012215,
CA003012216,CA003012216,
CA003012228,CA003012228,
CA00301222F,CA00301222F,
CA003012230,CA003012230,
CA003012232,CA003012232,
CA003012233,CA003012233,
CA003012234,CA003012234,
CA003012235,CA003012235,
CA003012275,CA003012275,
CA003012277,CA003012277,
CA003012278,CA003012278,
CA003012280,CA003012280,
CA003012281,CA003012281,
CA003012282,CA003012282,
CA003012295,CA003012295,
CA003012330,CA003012330,
CA003012425,CA003012425,
CA003012515,CA003012515,
CA003012590,CA003012590,
CA003012620,CA003012620,
CA003012651,CA003012651,
CA003012652,CA003012652,
CA003012653,CA003012653,
CA003012659,CA003012659,
CA003012710,CA003012710,
CA003012740,CA003012740,
CA003012742,CA003012742,
CA003012760,CA003012760,
CA003012774,CA003012774,
CA003012790,CA003012790,
CA003012817,CA003012817,
CA003012818,CA003012818,
CA003012860,CA003012860,
CA003012872,CA003012872,
CA003012990,CA003012990,
CA003012992,CA003012992,
CA003012998,CA003012998,
CA003012999,CA003012999,
CA003012P82,CA003012P82,
CA003013040,CA003013040,
CA003013060,CA003013060,
CA003013128,CA003013128,
CA003013132,CA003013132,
CA003013140,CA003013140,
CA003013247,CA003013247,
CA003013270,CA003013270,
CA003013340,CA003013340,
CA003013344,CA003013344,
CA003013345,CA003013345,
CA003013360,CA003013360,
CA003013361,CA003013361,
CA003013362,CA003013362,
CA003013363,CA003013363,
CA003013467,CA003013467,
CA003013530,CA003013530,
CA003013640,CA003013640,
CA003013643,CA003013643,
CA003013644,CA003013644,
CA003013645,CA003013645,
CA003013650,CA003013650,
CA003013660,CA003013660,
CA003013770,CA003013770,
CA003013771,CA003013771,
CA003013790,CA003013790,
CA003013920,CA003013920,
CA003013921,CA003013921,
CA003013959,CA003013959,
CA003013960,CA003013960,
CA003013961,CA003013961,
CA003013963,CA003013963,
CA003013965,CA003013965,
CA003013983,CA003013983,
CA003013990,CA003013990,
CA003013993,CA003013993,
CA003013C44,CA003013C44,
CA003013PFD,CA003013PFD,
CA003014178,CA003014178,
CA003014188,CA003014188,
CA003014195,CA003014195,
CA003014225,CA003014225,
CA003014235,CA003014235,
CA003014520,CA003014520,
CA003014556,CA003014556,
CA003014560,CA003014560,
CA003014563,CA003014563,
CA003014565,CA003014565,
CA003014600,CA003014600,
CA003014665,CA003014665,
CA003014690,CA003014690,
CA003014760,CA003014760,
CA003014783,CA003014783,
CA003014785,CA003014785,
CA003014788,CA003014788,
CA003014795,CA003014795,
CA003014800,CA003014800,
CA003014803,CA003014803,
CA003014870,CA003014870,
CA003014912,CA003014912,
CA003014921,CA003014921,
CA003014922,CA003014922,
CA003014926,CA003014926,
CA003014975,CA003014975,
CA003014995,CA003014995,
CA003014996,CA003014996,
CA003015165,CA003015165,
CA003015280,CA003015280,
CA003015283,CA003015283,
CA003015287,CA003015287,
CA003015295,CA003015295,
CA003015311,CA003015311,
CA003015345,CA003015345,
CA003015346,CA003015346,
CA003015400,CA003015400,
CA003015405,CA003015405,
CA003015480,CA003015480,
CA003015493,CA003015493,
CA003015500,CA003015500,
CA003015501,CA003015501,
CA003015520,CA003015520,
CA003015522,CA003015522,
CA003015523,CA003015523,
CA003015524,CA003015524,
CA003015530,CA003015530,
CA003015550,CA003015550,
CA003015600,CA003015600,
CA003015640,CA003015640,
CA003015670,CA003015670,
CA003015672,CA003015672,
CA003015673,CA003015673,
CA003015676,CA003015676,
CA003015680,CA003015680,
CA0030156H6,CA0030156H6,
CA003015797,CA003015797,
CA003015798,CA003015798,
CA003015799,CA003015799,
CA003015800,CA003015800,
CA003015808,CA003015808,
CA003015879,CA003015879,
CA0030158GR,CA0030158GR,
CA003015900,CA003015900,
CA003015960,CA003015960,
CA003015K2K,CA003015K2K,
CA003016022,CA003016022,
CA003016052,CA003016052,
CA003016070,CA003016070,
CA003016119,CA003016119,
CA003016120,CA003016120,
CA003016124,CA003016124,
CA003016180,CA003016180,
CA003016225,CA003016225,
CA003016253,CA003016253,
CA003016328,CA003016328,
CA003016370,CA003016370,
CA003016400,CA003016400,
CA003016405,CA003016405,
CA003016440,CA003016440,
CA003016441,CA003016441,
CA003016494,CA003016494,
CA003016505,CA003016505,
CA003016590,CA003016590,
CA003016591,CA003016591,
CA003016592,CA003016592,
CA003016593,CA003016593,
CA003016648,CA003016648,
CA003016650,CA003016650,
CA003016655,CA003016655,
CA003016760,CA003016760,
CA003016761,CA003016761,
CA003016790,CA003016790,
CA003016800,CA003016800,
CA003016802,CA003016802,
CA003016807,CA003016807,
CA003016808,CA003016808,
CA003016810,CA003016810,
CA003016817,CA003016817,
CA003016840,CA003016840,
CA003016841,CA003016841,
CA003016843,CA003016843,
CA003016844,CA003016844,
CA003016845,CA003016845,
CA003016850,CA003016850,
CA003016852,CA003016852,
CA003016860,CA003016860,
CA003016900,CA003016900,
CA003016928,CA003016928,
CA003016930,CA003016930,
CA003016931,CA003016931,
CA003016932,CA003016932,
CA003016954,CA003016954,
CA003016958,CA003016958,
CA003016960,CA003016960,
CA003016965,CA003016965,
CA003016GF0,CA003016GF0,
CA003017257,CA003017257,
CA003017258,CA003017258,
CA003017280,CA003017280,
CA003017282,CA003017282,
CA003017286,CA003017286,
CA003017595,CA003017595,
CA003017606,CA003017606,
CA003017665,CA003017665,
CA003017685,CA003017685,
CA003017700,CA003017700,
CA00301A001,CA00301A001,
CA00301A005,CA00301A005,
CA00301A011,CA00301A011,
CA00301AR54,CA00301AR54,
CA00301B460,CA00301B460,
CA00301B6L0,CA00301B6L0,
CA00301B8LR,CA00301B8LR,
CA00301C3D4,CA00301C3D4,
CA00301FFNJ,CA00301FFNJ,
CA00301GK5H,CA00301GK5H,
CA00301KF03,CA00301KF03,
CA00301KKRR,CA00301KKRR,
CA00301N49A,CA00301N49A,
CA00301NDR1,CA00301NDR1,
CA00301R001,CA00301R001,
CA00301S001,CA00301S001,
CA003020018,CA003020018,
CA003020020,CA003020020,
CA003020025,CA003020025,
CA003020031,CA003020031,
CA003020035,CA003020035,
CA003020040,CA003020040,
CA003020120,CA003020120,
CA003020121,CA003020121,
CA003020220,CA003020220,
CA003020250,CA003020250,
CA003020401,CA003020401,
CA003020405,CA003020405,
CA00302053E,CA00302053E,
CA003020550,CA003020550,
CA003020608,CA003020608,
CA003020610,CA003020610,
CA003020620,CA003020620,
CA003020636,CA003020636,
CA003020670,CA003020670,
CA003020676,CA003020676,
CA003020677,CA003020677,
CA003020678,CA003020678,
CA003020679,CA003020679,
CA003020680,CA003020680,
CA003020690,CA003020690,
CA003020696,CA003020696,
CA003020702,CA003020702,
CA003020715,CA003020715,
CA003020717,CA003020717,
CA003020730,CA003020730,
CA003020760,CA003020760,
CA003020864,CA003020864,
CA003020952,CA003020952,
CA003020973,CA003020973,
CA003020975,CA003020975,
CA003020L01,CA003020L01,
CA003021010,CA003021010,
CA003021290,CA003021290,
CA003021309,CA003021309,
CA003021330,CA003021330,
CA003021368,CA003021368,
CA003021460,CA003021460,
CA003021465,CA003021465,
CA003021667,CA003021667,
CA003021912,CA003021912,
CA003021940,CA003021940,
CA003021950,CA003021950,
CA003022060,CA003022060,
CA003022078,CA003022078,
CA003022083,CA003022083,
CA003022084,CA003022084,
CA003022092,CA003022092,
CA003022108,CA003022108,
CA003022120,CA003022120,
CA003022136,CA003022136,
CA003022137,CA003022137,
CA003022139,CA003022139,
CA003022143,CA003022143,
CA003022154,CA003022154,
CA003022158,CA003022158,
CA003022159,CA003022159,
CA0030221LG,CA0030221LG,
CA003022325,CA003022325,
CA003022400,CA003022400,
CA003022402,CA003022402,
CA003022460,CA003022460,
CA003022485,CA003022485,
CA003022500,CA003022500,
CA003022616,CA003022616,
CA003022772,CA003022772,
CA003022778,CA003022778,
CA003022981,CA003022981,
CA003023000,CA003023000,
CA003023055,CA003023055,
CA003023200,CA003023200,
CA003023280,CA003023280,
CA003023400,CA003023400,
CA003023402,CA003023402,
CA003023420,CA003023420,
CA003023422,CA003023422,
CA003023423,CA003023423,
CA003023430,CA003023430,
CA003023560,CA003023560,
CA003023665,CA003023665,
CA003023720,CA003023720,
CA003023722,CA003023722,
CA003023740,CA003023740,
CA0030237FM,CA0030237FM,
CA003023800,CA003023800,
CA003023850,CA003023850,
CA003023971,CA003023971,
CA003023982,CA003023982,
CA003023L4M,CA003023L4M,
CA003024000,CA003024000,
CA003024150,CA003024150,
CA003024210,CA003024210,
CA003024572,CA003024572,
CA0030245KL,CA0030245KL,
CA003024664,CA003024664,
CA003024665,CA003024665,
CA003024668,CA003024668,
CA003024680,CA003024680,
CA003024906,CA003024906,
CA003024920,CA003024920,
CA003024925,CA003024925,
CA003024960,CA003024960,
CA003024961,CA003024961,
CA003024962,CA003024962,
CA003024965,CA003024965,
CA003024980,CA003024980,
CA003024R60,CA003024R60,
CA003025010,CA003025010,
CA003025170,CA003025170,
CA003025222,CA003025222,
CA003025240,CA003025240,
CA003025243,CA003025243,
CA003025296,CA003025296,
CA003025297,CA003025297,
CA003025440,CA003025440,
CA003025441,CA003025441,
CA003025445,CA003025445,
CA003025480,CA003025480,
CA003025494,CA003025494,
CA0030254RJ,CA0030254RJ,
CA003025543,CA003025543,
CA003025762,CA003025762,
CA003025764,CA003025764,
CA003025766,CA003025766,
CA003025768,CA003025768,
CA003025770,CA003025770,
CA003025920,CA003025920,
CA003025921,CA003025921,
CA003025925,CA003025925,
CA003025928,CA003025928,
CA003025984,CA003025984,
CA003025K22,CA003025K22,
CA003026009,CA003026009,
CA003026080,CA003026080,
CA003026090,CA003026090,
CA003026095,CA003026095,
CA003026258,CA003026258,
CA003026259,CA003026259,
CA003026260,CA003026260,
CA003026263,CA003026263,
CA003026275,CA003026275,
CA003026330,CA003026330,
CA003026479,CA003026479,
CA003026480,CA003026480,
CA003026484,CA003026484,
CA003026486,CA003026486,
CA003026487,CA003026487,
CA003026521,CA003026521,
CA003026530,CA003026530,
CA003026540,CA003026540,
CA003026543,CA003026543,
CA003026550,CA003026550,
CA003026646,CA003026646,
CA003026K61,CA003026K61,
CA003026KNQ,CA003026KNQ,
CA003027260,CA003027260,
CA003027580,CA003027580,
CA003027582,CA003027582,
CA00302CCDB,CA00302CCDB,
CA00302D920,CA00302D920,
CA00302F4HF,CA00302F4HF,
CA00302L643,CA00302L643,
CA00302M920,CA00302M920,
CA00302NH8L,CA00302NH8L,
CA003030060,CA003030060,
CA003030300,CA003030300,
CA003030302,CA003030302,
CA003030450,CA003030450,
CA003030525,CA003030525,
CA003030529,CA003030529,
CA003030530,CA003030530,
CA003030531,CA003030531,
CA003030537,CA003030537,
CA003030538,CA003030538,
CA003030540,CA003030540,
CA003030555,CA003030555,
CA003030665,CA003030665,
CA003030680,CA003030680,
CA003030720,CA003030720,
CA003030768,CA003030768,
CA003030769,CA003030769,
CA003030770,CA003030770,
CA003030772,CA003030772,
CA003030773,CA003030773,
CA003030775,CA003030775,
CA003030796,CA003030796,
CA003030798,CA003030798,
CA003030830,CA003030830,
CA003030838,CA003030838,
CA003030840,CA003030840,
CA003030856,CA003030856,
CA003030862,CA003030862,
CA003030E39,CA003030E39,
CA003030GAA,CA003030GAA,
CA003030GJ1,CA003030GJ1,
CA003030GJJ,CA003030GJJ,
CA003030PAJ,CA003030PAJ,
CA003030QLP,CA003030QLP,
CA003031000,CA003031000,
CA003031075,CA003031075,
CA003031076,CA003031076,
CA003031077,CA003031077,
CA003031078,CA003031078,
CA003031084,CA003031084,
CA003031090,CA003031090,
CA003031092,CA003031092,
CA003031093,CA003031093,
CA003031094,CA003031094,
CA003031102,CA003031102,
CA003031105,CA003031105,
CA003031107,CA003031107,
CA003031108,CA003031108,
CA003031151,CA003031151,
CA003031320,CA003031320,
CA003031322,CA003031322,
CA003031328,CA003031328,
CA003031338,CA003031338,
CA003031340,CA003031340,
CA003031341,CA003031341,
CA003031342,CA003031342,
CA003031345,CA003031345,
CA003031348,CA003031348,
CA003031400,CA003031400,
CA003031402,CA003031402,
CA003031450,CA003031450,
CA003031476,CA003031476,
CA003031480,CA003031480,
CA003031524,CA003031524,
CA003031640,CA003031640,
CA003031652,CA003031652,
CA003031656,CA003031656,
CA003031658,CA003031658,
CA003031668,CA003031668,
CA003031670,CA003031670,
CA003031676,CA003031676,
CA003031678,CA003031678,
CA0030316NF,CA0030316NF,
CA003031805,CA003031805,
CA003031875,CA003031875,
CA003031918,CA003031918,
CA003031920,CA003031920,
CA003031924,CA003031924,
CA003031926,CA003031926,
CA003031927,CA003031927,
CA003031F5F,CA003031F5F,
CA003031FN6,CA003031FN6,
CA003031FPF,CA003031FPF,
CA003032074,CA003032074,
CA003032420,CA003032420,
CA003032422,CA003032422,
CA003032450,CA003032450,
CA003032550,CA003032550,
CA003032624,CA003032624,
CA003032640,CA003032640,
CA003032642,CA003032642,
CA003032645,CA003032645,
CA003032650,CA003032650,
CA003032680,CA003032680,
CA003032683,CA003032683,
CA003032685,CA003032685,
CA003032686,CA003032686,
CA003032690,CA003032690,
CA0030326QF,CA0030326QF,
CA003032800,CA003032800,
CA003032801,CA003032801,
CA003032818,CA003032818,
CA003032820,CA003032820,
CA003032924,CA003032924,
CA003032927,CA003032927,
CA003032928,CA003032928,
CA003032930,CA003032930,
CA003032AM9,CA003032AM9,
CA003033080,CA003033080,
CA003033137,CA003033137,
CA003033138,CA003033138,
CA003033240,CA003033240,
CA003033242,CA003033242,
CA003033243,CA003033243,
CA003033281,CA003033281,
CA003033498,CA003033498,
CA003033500,CA003033500,
CA003033550,CA003033550,
CA003033572,CA003033572,
CA003033675,CA003033675,
CA003033875,CA003033875,
CA003033879,CA003033879,
CA003033880,CA003033880,
CA003033882,CA003033882,
CA003033884,CA003033884,
CA003033885,CA003033885,
CA003033890,CA003033890,
CA003033892,CA003033892,
CA003033895,CA003033895,
CA003033897,CA003033897,
CA003033898,CA003033898,
CA003033956,CA003033956,
CA003033980,CA003033980,
CA003034160,CA003034160,
CA003034162,CA003034162,
CA003034166,CA003034166,
CA003034479,CA003034479,
CA003034480,CA003034480,
CA003034483,CA003034483,
CA003034485,CA003034485,
CA003034488,CA003034488,
CA003034489,CA003034489,
CA003034552,CA003034552,
CA003034577,CA003034577,
CA003034596,CA003034596,
CA003034675,CA003034675,
CA003034676,CA003034676,
CA003034720,CA003034720,
CA003034725,CA003034725,
CA003034795,CA003034795,
CA003034820,CA003034820,
CA003034915,CA003034915,
CA003034916,CA003034916,
CA003034950,CA003034950,
CA003035173,CA003035173,
CA003035198,CA003035198,
CA003035201,CA003035201,
CA003035202,CA003035202,
CA003035206,CA003035206,
CA003035208,CA003035208,
CA003035216,CA003035216,
CA003035218,CA003035218,
CA003035219,CA003035219,
CA003035220,CA003035220,
CA003035221,CA003035221,
CA003035224,CA003035224,
CA003035228,CA003035228,
CA003035233,CA003035233,
CA003035301,CA003035301,
CA003035340,CA003035340,
CA003035342,CA003035342,
CA003035350,CA003035350,
CA003035360,CA003035360,
CA003035420,CA003035420,
CA003035422,CA003035422,
CA003035434,CA003035434,
CA003035530,CA003035530,
CA003035540,CA003035540,
CA003035650,CA003035650,
CA003035840,CA003035840,
CA003035845,CA003035845,
CA003035850,CA003035850,
CA003035880,CA003035880,
CA003036077,CA003036077,
CA003036078,CA003036078,
CA003036084,CA003036084,
CA003036085,CA003036085,
CA003036086,CA003036086,
CA003036099,CA003036099,
CA003036100,CA003036100,
CA003036102,CA003036102,
CA003036200,CA003036200,
CA003036205,CA003036205,
CA003036208,CA003036208,
CA003036235,CA003036235,
CA003036240,CA003036240,
CA003036241,CA003036241,
CA003036242,CA003036242,
CA003036360,CA003036360,
CA003036500,CA003036500,
CA003036618,CA003036618,
CA003036620,CA003036620,
CA003036640,CA003036640,
CA003036641,CA003036641,
CA003036652,CA003036652,
CA003036680,CA003036680,
CA003036681,CA003036681,
CA003036682,CA003036682,
CA003036690,CA003036690,
CA003036856,CA003036856,
CA003036880,CA003036880,
CA003036881,CA003036881,
CA003036884,CA003036884,
CA003037520,CA003037520,
CA003037550,CA003037550,
CA003037600,CA003037600,
CA003037650,CA003037650,
CA003037675,CA003037675,
CA00303A0Q6,CA00303A0Q6,
CA00303AFGF,CA00303AFGF,
CA00303C642,CA00303C642,
CA00303D9JN,CA00303D9JN,
CA00303F0PP,CA00303F0PP,
CA00303FFLR,CA00303FFLR,
CA00303L24K,CA00303L24K,
CA00303M9JM,CA00303M9JM,
CA00303N1G3,CA00303N1G3,
CA003040049,CA003040049,
CA003040223,CA003040223,
CA003040735,CA003040735,
CA003041908,CA003041908,
CA003041910,CA003041910,
CA003042040,CA003042040,
CA003042041,CA003042041,
CA003042045,CA003042045,
CA003042056,CA003042056,
CA003042148,CA003042148,
CA003042793,CA003042793,
CA003042960,CA003042960,
CA003043660,CA003043660,
CA003043667,CA003043667,
CA003044070,CA003044070,
CA003044200,CA003044200,
CA003044203,CA003044203,
CA003044204,CA003044204,
CA003044230,CA003044230,
CA003044232,CA003044232,
CA003044533,CA003044533,
CA003044534,CA003044534,
CA003044540,CA003044540,
CA003044545,CA003044545,
CA003044550,CA003044550,
CA003044551,CA003044551,
CA003044923,CA003044923,
CA003044930,CA003044930,
CA003045000,CA003045000,
CA003045293,CA003045293,
CA003046950,CA003046950,
CA003046952,CA003046952,
CA003046953,CA003046953,
CA003047365,CA003047365,
CA003047670,CA003047670,
CA00304CFDC,CA00304CFDC,
CA00304KFL0,CA00304KFL0,
CA0030500FR,CA0030500FR,
CA003050240,CA003050240,
CA003050490,CA003050490,
CA003050519,CA003050519,
CA003050520,CA003050520,
CA003050521,CA003050521,
CA003050526,CA003050526,
CA003050533,CA003050533,
CA003050600,CA003050600,
CA003050602,CA003050602,
CA0030506GN,CA0030506GN,
CA003050725,CA003050725,
CA003050731,CA003050731,
CA003050778,CA003050778,
CA003050779,CA003050779,
CA0030507AC,CA0030507AC,
CA003050960,CA003050960,
CA003050965,CA003050965,
CA003050974,CA003050974,
CA003050978,CA003050978,
CA003050PPF,CA003050PPF,
CA003051165,CA003051165,
CA003051310,CA003051310,
CA003051424,CA003051424,
CA003051430,CA003051430,
CA003051478,CA003051478,
CA003051545,CA003051545,
CA003051585,CA003051585,
CA003051665,CA003051665,
CA0030516F5,CA0030516F5,
CA003051720,CA003051720,
CA003051725,CA003051725,
CA003051740,CA003051740,
CA003051766,CA003051766,
CA003051928,CA003051928,
CA003051932,CA003051932,
CA0030519N0,CA0030519N0,
CA003051F56,CA003051F56,
CA003051R4R,CA003051R4R,
CA003051R51,CA003051R51,
CA003052069,CA003052069,
CA003052255,CA003052255,
CA003052270,CA003052270,
CA003052508,CA003052508,
CA003052602,CA003052602,
CA003052603,CA003052603,
CA003052653,CA003052653,
CA0030526EL,CA0030526EL,
CA003052705,CA003052705,
CA003052745,CA003052745,
CA003052780,CA003052780,
CA003052838,CA003052838,
CA003052940,CA003052940,
CA003052995,CA003052995,
CA003052D82,CA003052D82,
CA003052PP6,CA003052PP6,
CA003053250,CA003053250,
CA003053505,CA003053505,
CA003053512,CA003053512,
CA003053519,CA003053519,
CA003053520,CA003053520,
CA003053536,CA003053536,
CA003053538,CA003053538,
CA003053552,CA003053552,
CA003053575,CA003053575,
CA003053587,CA003053587,
CA003053600,CA003053600,
CA003053602,CA003053602,
CA003053604,CA003053604,
CA003053605,CA003053605,
CA003053649,CA003053649,
CA003053668,CA003053668,
CA003053669,CA003053669,
CA003053670,CA003053670,
CA003053760,CA003053760,
CA003053908,CA003053908,
CA003053925,CA003053925,
CA003053926,CA003053926,
CA003053985,CA003053985,
CA003053988,CA003053988,
CA003054080,CA003054080,
CA003054120,CA003054120,
CA003054215,CA003054215,
CA00305421B,CA00305421B,
CA003054250,CA003054250,
CA003054487,CA003054487,
CA003054592,CA003054592,
CA003054655,CA003054655,
CA003054700,CA003054700,
CA003054722,CA003054722,
CA003054730,CA003054730,
CA003054732,CA003054732,
CA003054733,CA003054733,
CA003054840,CA003054840,
CA003054843,CA003054843,
CA003054845,CA003054845,
CA003054998,CA003054998,
CA003054R99,CA003054R99,
CA003055119,CA003055119,
CA003055120,CA003055120,
CA003055175,CA003055175,
CA003055237,CA003055237,
CA003055289,CA003055289,
CA003055291,CA003055291,
CA003055343,CA003055343,
CA003055379,CA003055379,
CA003055410,CA003055410,
CA003055485,CA003055485,
CA003055754,CA003055754,
CA003055761,CA003055761,
CA003055768,CA003055768,
CA003055883,CA003055883,
CA003055890,CA003055890,
CA003055976,CA003055976,
CA003055980,CA003055980,
CA003055H8C,CA003055H8C,
CA003056055,CA003056055,
CA003056067,CA003056067,
CA003056100,CA003056100,
CA003056212,CA003056212,
CA003056213,CA003056213,
